DATE	HANDLES	WS	VM	COMMITSIZE
02/19/2015 09:29:04	372	200348	906432	626440
02/19/2015 09:29:04	372	200920	906432	627200
02/19/2015 09:29:04	372	201448	906432	627580
02/19/2015 09:29:04	372	201920	906432	627960
02/19/2015 09:29:04	372	202684	906432	628348
02/19/2015 09:29:04	372	202940	906432	628748
02/19/2015 09:29:04	372	203396	906432	628748
02/19/2015 09:29:04	372	203968	906432	629256
02/19/2015 09:29:05	372	204308	906432	629668
02/19/2015 09:29:05	372	204968	906432	630492
02/19/2015 09:29:05	372	205136	906432	630492
02/19/2015 09:29:05	372	205460	906432	630904
02/19/2015 09:29:05	372	206308	906432	631324
02/19/2015 09:29:05	372	206672	906432	631744
02/19/2015 09:29:05	372	207328	906432	632164
02/19/2015 09:29:05	372	208036	906432	633036
02/19/2015 09:29:05	372	208736	906432	633924
02/19/2015 09:29:05	372	209164	906432	634368
02/19/2015 09:29:05	372	209880	906432	634820
02/19/2015 09:29:05	372	210484	906432	635280
02/19/2015 09:29:05	372	210948	906432	635748
02/19/2015 09:29:05	372	211536	906432	636224
02/19/2015 09:29:06	372	212176	906432	636716
02/19/2015 09:29:06	372	212540	906432	637232
02/19/2015 09:29:06	372	212796	906432	637232
02/19/2015 09:29:06	372	213308	906432	637756
02/19/2015 09:29:06	372	213340	906432	638288
02/19/2015 09:29:06	372	213800	906432	638288
02/19/2015 09:29:06	372	214628	906432	638288
02/19/2015 09:29:06	372	215180	906432	638828
02/19/2015 09:29:06	372	215844	906432	639368
02/19/2015 09:29:06	372	216576	906432	639368
02/19/2015 09:29:06	372	217484	906432	639916
02/19/2015 09:29:06	372	217556	906432	639916
02/19/2015 09:29:06	372	222264	910592	644668
02/19/2015 09:29:06	372	222888	910592	645256
02/19/2015 09:29:07	372	223528	910592	645852
02/19/2015 09:29:07	372	224432	910592	646448
02/19/2015 09:29:07	372	224968	910592	646448
02/19/2015 09:29:07	372	225384	910592	647060
02/19/2015 09:29:07	372	225720	910592	647696
02/19/2015 09:29:07	372	225896	910592	647696
02/19/2015 09:29:07	372	225896	910592	647696
02/19/2015 09:29:07	372	226448	910592	648332
02/19/2015 09:29:07	372	226772	910592	648332
02/19/2015 09:29:07	372	227404	910592	648976
02/19/2015 09:29:07	372	227724	910592	649620
02/19/2015 09:29:07	372	228028	910592	649620
02/19/2015 09:29:07	372	228524	910592	649620
02/19/2015 09:29:07	372	229336	910592	650272
02/19/2015 09:29:08	372	229976	910592	650928
02/19/2015 09:29:08	372	230980	910592	651620
02/19/2015 09:29:08	372	231524	910592	651620
02/19/2015 09:29:08	372	232124	910592	651620
02/19/2015 09:29:08	372	232336	910592	651620
02/19/2015 09:29:08	372	232908	910592	651620
02/19/2015 09:29:08	372	233192	910592	651620
02/19/2015 09:29:08	372	233760	910592	652368
