DATE	HANDLES	WS	VM	COMMITSIZE
02/19/2015 08:07:36	16069	445248	1311996	864880
02/19/2015 08:07:36	16770	446264	1311996	865908
02/19/2015 08:07:36	17202	448276	1311996	867920
02/19/2015 08:07:36	17565	448812	1311996	868444
02/19/2015 08:07:36	18073	449580	1311996	869200
02/19/2015 08:07:37	18633	450636	1311996	870268
02/19/2015 08:07:37	19177	452908	1311996	872536
02/19/2015 08:07:37	19817	453412	1311996	873040
02/19/2015 08:07:37	21061	457008	1311996	876648
02/19/2015 08:07:37	21589	458536	1311996	878180
02/19/2015 08:07:37	22177	459564	1311996	879208
02/19/2015 08:07:37	22921	461848	1311996	881496
02/19/2015 08:07:37	23537	463360	1311996	883008
02/19/2015 08:07:37	24181	465124	1311996	884772
02/19/2015 08:07:37	24893	466636	1311996	886284
02/19/2015 08:07:37	25497	467912	1311996	887564
02/19/2015 08:07:38	26145	469440	1311996	889096
02/19/2015 08:07:38	26801	471708	1311996	891364
02/19/2015 08:07:38	27642	473236	1311996	892876
02/19/2015 08:07:38	28157	477336	1314076	896976
02/19/2015 08:07:38	30117	482376	1314076	902016
02/19/2015 08:07:38	30565	483384	1314076	903024
02/19/2015 08:07:38	31097	484896	1314076	904536
02/19/2015 08:07:38	31741	486912	1314076	906552
02/19/2015 08:07:38	32333	488188	1314076	907836
02/19/2015 08:07:38	32993	489952	1314076	909600
02/19/2015 08:07:39	33693	491716	1314076	911364
02/19/2015 08:07:39	34261	493348	1314076	912996
02/19/2015 08:07:39	34922	495248	1314076	914904
02/19/2015 08:07:39	35881	499040	1314076	918696
02/19/2015 08:07:39	36593	500920	1314076	920576
02/19/2015 08:07:39	37156	502928	1314076	922584
02/19/2015 08:07:39	37713	504436	1314076	924092
02/19/2015 08:07:39	38277	506576	1314076	926228
02/19/2015 08:07:39	38761	508604	1314076	928264
02/19/2015 08:07:39	39341	510108	1314076	929768
02/19/2015 08:07:39	39881	511364	1314076	931024
02/19/2015 08:07:39	40534	513624	1314076	933284
02/19/2015 08:07:39	41088	515748	1313052	935392
02/19/2015 08:07:40	41686	518260	1313052	937904
02/19/2015 08:07:40	42248	519388	1313052	939032
02/19/2015 08:07:40	42848	522152	1313052	941796
02/19/2015 08:07:40	43441	524052	1313052	943704
02/19/2015 08:07:40	44884	528084	1313052	947744
02/19/2015 08:07:40	45024	529468	1313052	949128
02/19/2015 08:07:40	45705	530972	1313052	950632
02/19/2015 08:07:40	46357	533248	1313052	952916
02/19/2015 08:07:40	46996	535256	1313052	954924
02/19/2015 08:07:40	47568	537536	1313052	957216
02/19/2015 08:07:40	48340	540172	1313052	959852
02/19/2015 08:07:41	49116	543060	1313052	962740
02/19/2015 08:07:41	49877	545584	1313052	965252
02/19/2015 08:07:41	50524	547592	1313052	967260
02/19/2015 08:07:41	51216	549352	1313052	969020
02/19/2015 08:07:41	53868	558520	1313052	978188
02/19/2015 08:07:41	54492	559900	1313052	979568
02/19/2015 08:07:41	55200	566576	1317212	986244
02/19/2015 08:07:41	55752	568712	1317212	988380
02/19/2015 08:07:41	56616	571728	1317212	991396
02/19/2015 08:07:41	57324	573636	1317212	993348
02/19/2015 08:07:41	57785	574644	1317212	993872
02/19/2015 08:07:42	58256	576484	1317212	995504
02/19/2015 08:07:42	58812	578260	1317212	997648
02/19/2015 08:07:42	59056	579788	1317212	999548
02/19/2015 08:07:42	60380	584004	1317212	1004484
02/19/2015 08:07:42	60824	585144	1317212	1005624
02/19/2015 08:07:42	61324	586548	1317212	1007524
02/19/2015 08:07:42	61780	588228	1317212	1009452
02/19/2015 08:07:42	62285	590420	1317212	1012140
02/19/2015 08:07:42	62936	592640	1317212	1014856
02/19/2015 08:07:42	63660	594984	1317212	1017572
02/19/2015 08:07:43	64508	597832	1317212	1020668
02/19/2015 08:07:43	65172	599636	1317212	1022596
02/19/2015 08:07:43	65776	601240	1317212	1023820
02/19/2015 08:07:43	66308	602528	1317212	1024860
02/19/2015 08:07:43	68320	608732	1317212	1029572
02/19/2015 08:07:43	68812	611032	1317212	1031124
02/19/2015 08:07:43	69424	612832	1317212	1032676
02/19/2015 08:07:43	70148	615136	1317212	1034736
02/19/2015 08:07:43	70896	617556	1317212	1036288
02/19/2015 08:07:43	71132	617964	1317212	1036824
02/19/2015 08:07:43	71628	620368	1317212	1038980
02/19/2015 08:07:44	72124	622036	1317212	1040396
02/19/2015 08:07:44	72688	623440	1317212	1041784
02/19/2015 08:07:44	73344	626148	1317212	1044492
02/19/2015 08:07:44	74076	628168	1317212	1046512
02/19/2015 08:07:44	74695	629996	1317212	1048340
02/19/2015 08:07:44	75252	632780	1317212	1051376
02/19/2015 08:07:44	75867	634184	1317212	1052792
02/19/2015 08:07:44	76600	637088	1317212	1055444
02/19/2015 08:07:44	77104	639040	1317212	1057396
02/19/2015 08:07:44	77724	640440	1317212	1058784
02/19/2015 08:07:44	78408	642144	1317212	1060680
02/19/2015 08:07:44	79068	644964	1317212	1063524
02/19/2015 08:07:45	79760	647788	1317212	1066336
02/19/2015 08:07:45	80564	650456	1317212	1069024
02/19/2015 08:07:45	81249	652388	1317212	1070576
02/19/2015 08:07:45	81855	655860	1317212	1074068
02/19/2015 08:07:45	82372	657240	1317212	1074744
02/19/2015 08:07:45	82528	657496	1317212	1074744
02/19/2015 08:07:45	82900	658400	1317212	1075684
02/19/2015 08:07:45	83672	661192	1317212	1078352
02/19/2015 08:07:45	83800	661876	1317212	1079024
02/19/2015 08:07:45	83800	661876	1317212	1079024
02/19/2015 08:07:45	83800	661876	1317212	1079024
02/19/2015 08:07:45	83798	661876	1317212	1079024
02/19/2015 08:07:45	83798	661876	1317212	1079024
02/19/2015 08:07:46	83798	661892	1314280	1076092
02/19/2015 08:07:46	83798	661892	1314280	1076092
02/19/2015 08:07:46	83798	661892	1314280	1076092
02/19/2015 08:07:46	83798	661892	1314280	1076092
02/19/2015 08:07:46	83798	661892	1314280	1076092
02/19/2015 08:07:46	83798	661892	1314280	1076092
02/19/2015 08:07:46	83798	662148	1314280	1076348
02/19/2015 08:07:46	83798	662596	1314280	1076796
02/19/2015 08:07:46	83798	663108	1314280	1077308
02/19/2015 08:07:46	83798	664076	1330472	1078300
02/19/2015 08:07:46	83798	664780	1330472	1079004
02/19/2015 08:07:46	83796	665664	1329448	1079876
02/19/2015 08:07:47	80908	658308	1321124	1072532
02/19/2015 08:07:47	74175	658308	1321124	1072532
02/19/2015 08:07:47	66968	658308	1321124	1072532
02/19/2015 08:07:47	60432	658308	1321124	1072532
02/19/2015 08:07:47	34844	592044	1321124	1006304
02/19/2015 08:07:47	27504	534160	1321124	948420
02/19/2015 08:07:47	19579	534160	1321124	948796
02/19/2015 08:07:47	12019	483420	1321124	897680
02/19/2015 08:07:47	3290	483420	1321124	907008
02/19/2015 08:07:47	378	441376	1324056	862268
02/19/2015 08:07:47	378	442224	1324056	862904
02/19/2015 08:07:48	378	443996	1325340	865080
02/19/2015 08:07:48	435	443232	1324056	863820
02/19/2015 08:07:48	1003	443352	1324056	863912
02/19/2015 08:07:48	1443	443728	1324056	864288
02/19/2015 08:07:48	3139	444744	1324056	865308
02/19/2015 08:07:48	3375	444776	1324056	865344
02/19/2015 08:07:48	3851	445356	1324056	865416
02/19/2015 08:07:48	4552	445392	1324056	865452
02/19/2015 08:07:48	5227	445420	1324056	865476
02/19/2015 08:07:48	5815	445428	1324056	865488
02/19/2015 08:07:48	6622	445432	1324056	865488
02/19/2015 08:07:49	7275	446488	1325100	866544
02/19/2015 08:07:49	7923	446488	1325100	866544
02/19/2015 08:07:49	8555	446488	1325100	866544
02/19/2015 08:07:49	9123	446492	1325100	866544
02/19/2015 08:07:49	11003	446508	1325100	866556
02/19/2015 08:07:49	11639	446508	1325100	866556
